year,game_kind,player_id,player_name,team_code,team_name,kph,kph_max,pitch_type,pitches,spin_rate,spin_rate_max,throws
2026,A,0000006720,邱駿威,AJL011,樂天桃猿,144.499244769792,147.399414624,fastball,50,2195.489632,2356.4185,R
2026,A,0000007276,伍立辰,ACN011,中信兄弟,131.26570984295998,144.46974871296,breakingball,48,2131.0626708333325,2623.7295,R
2026,A,0000000776,王凱程,ACN011,中信兄弟,135.80424265056,144.50088951936,breakingball,48,2113.0213145833336,2533.1865,R
2026,A,0000007073,賴胤豪,AJL011,樂天桃猿,149.24471071128505,152.8958876544,fastball,47,2245.1179574468083,2425.1062,R
2026,A,0000001232,江忠城,ACN011,中信兄弟,132.89144212248507,136.7233483968,breakingball,47,2444.1108712765963,3364.3757,R
2026,A,0000007593,石梓霖,AEO011,富邦悍將,134.30621985702132,139.11293455488,breakingball,47,1813.151021276596,2328.862,R
2026,A,0000007049,林暉盛,ACN011,中信兄弟,135.280516923047,138.73465824768,breakingball,46,1799.0254347826092,2439.3223,R
2026,A,0000006227,曾峻岳,AEO011,富邦悍將,136.608450891264,146.16739741824,breakingball,45,2325.4827288888887,3470.7976,R
2026,A,0000007283,陳冠穎,ACN011,中信兄弟,141.21338048352004,145.42383220992,fastball,44,2185.0506250000003,2369.183,R
2026,A,0000007293,鍾允華,ADD011,統一7-ELEVEn獅,138.18757565375998,145.09383622272,breakingball,44,1911.9166590909097,2554.584,R
2026,A,0000003608,曾仁和,AAA011,味全龍,129.99521521044838,140.2393627008,breakingball,43,2060.0529534883713,2588.2593,R
2026,A,0000000778,蔡齊哲,ACN011,中信兄弟,140.36342628122785,142.72645901184,fastball,43,2147.3885976744186,2305.1504,R
2026,A,0000007061,辛俊昇,ADD011,統一7-ELEVEn獅,143.2665425965714,146.38103783424,fastball,42,2069.6230142857144,2202.7124,L
2026,A,0000005315,高偉強,ADD011,統一7-ELEVEn獅,130.55707137490282,135.80689136256,breakingball,42,2048.036081666667,2713.112,R
2026,A,0000001232,江忠城,ACN011,中信兄弟,145.14488193216,148.36576132224,fastball,42,2394.935061904762,2579.5461,R
2026,A,0000000998,邱浩鈞,ADD011,統一7-ELEVEn獅,133.57298607762732,139.569956064,breakingball,41,1959.4055487804876,2624.74,R
2026,A,0000007047,盧冠宇,AJL011,樂天桃猿,146.3072639351883,149.12055975168,fastball,41,2239.3937268292684,2440.7175,R
2026,A,0000006127,李其峰,ADD011,統一7-ELEVEn獅,131.07727231825174,135.34628101632,breakingball,41,1727.7578292682929,2063.1577,R
2026,A,0000000938,張瑞麟,AEO011,富邦悍將,141.1840703951298,143.79184473984,fastball,41,2260.136624390244,2373.1792,L
2026,A,0000000363,陳仕朋,AEO011,富邦悍將,132.14311352985595,138.77310547584,breakingball,40,2049.3972700000004,2671.0857,L
2026,A,0000006910,王伯洋,AAA011,味全龍,139.40622341712003,147.67969797504,fastball,40,2307.6337700000004,2513.857,L
2026,A,0000002303,黃竣彥,ADD011,統一7-ELEVEn獅,144.51819285592617,148.74405372288,fastball,39,2329.1335179487182,2529.663,R
2026,A,0000002303,黃竣彥,ADD011,統一7-ELEVEn獅,130.69933833236212,136.03356746496,breakingball,38,2099.1508331578952,2489.4233,R
2026,A,0000001390,王躍霖,AKP011,台鋼雄鷹,130.74639300985262,138.54739497984,breakingball,38,2305.785263157895,2537.8904,R
2026,A,0000007073,賴胤豪,AJL011,樂天桃猿,134.4570578941642,142.13489634432,breakingball,38,1735.6931613157894,2246.713,R
2026,A,0000000363,陳仕朋,AEO011,富邦悍將,140.23445504862315,143.85583225728,fastball,38,2366.9698684210534,2489.1018,L
2026,A,0000007276,伍立辰,ACN011,中信兄弟,145.35100939391995,148.05132769152,fastball,38,2335.0171894736854,2462.8682,R
