year,game_kind,player_id,player_name,team_code,team_name,ba,ba_pr,bbp,bbp_pr,brl,brl_pr,brlp,chasep,chasep_pr,ev,ev_pr,hard_hitp,hard_hitp_pr,iso,iso_pr,kp,kp_pr,max_ev,max_ev_pr,obp,obp_pr,pa,prlp_pr,slg,slg_pr,whiffp,whiffp_pr,woba,woba_pr
2026,A,0000007304,曾聖安,AAA011,味全龍,0.20754716981132076,40,0.12698412698412698,85,2,74,0.05263157894736842,0.20833333333333334,75,141.1148787233948,77,0.391304347826087,82,0.05660377358490565,56,0.2698412698412698,19,168.06273175296,64,0.3064516129032258,51,63,76,0.2641509433962264,41,0.3018867924528302,15,0.28398387096774197,47
2026,A,0000006726,李展毅,AAA011,味全龍,0.2608695652173913,65,0.08,66,2,74,0.05714285714285714,0.27692307692307694,46,138.4545553730743,62,0.35714285714285715,74,0.10869565217391303,77,0.22,30,168.00611503104,63,0.32,60,50,78,0.3695652173913043,73,0.22826086956521738,39,0.32028,68
2026,A,0000007302,宋柏翰,AKP011,台鋼雄鷹,0.2727272727272727,70,0.25,98,2,74,0.2,0.3076923076923077,37,145.78655018400002,91,0.5,94,0.36363636363636365,99,0.125,73,165.8441866752,53,0.4375,94,16,99,0.6363636363636364,98,0.2692307692307692,19,0.4785625,97
2026,A,0000003649,吳念庭,AKP011,台鋼雄鷹,0.27927927927927926,72,0.13076923076923078,85,1,59,0.01020408163265306,0.16267942583732056,82,140.21993613056003,73,0.3055555555555556,65,0.05405405405405406,53,0.11538461538461539,78,164.14935432192,47,0.36923076923076925,83,130,51,0.3333333333333333,61,0.1380952380952381,77,0.33540769230769246,71
2026,A,0000005298,黃韋盛,ACN011,中信兄弟,0.30275229357798167,84,0.112,79,1,59,0.010752688172043012,0.25,53,136.26162463861897,53,0.2894736842105263,57,0.09174311926605505,68,0.152,62,168.90398414208,69,0.376,85,125,52,0.3944954128440367,77,0.17117117117117117,64,0.36088800000000026,80
2026,A,0000006223,林子豪,ADD011,統一7-ELEVEn獅,0.31683168316831684,86,0.06422018348623854,53,1,59,0.011764705882352941,0.29927007299270075,39,142.76846709929356,83,0.2923076923076923,59,0.1089108910891089,78,0.1559633027522936,59,169.67545537536,72,0.3611111111111111,82,109,53,0.42574257425742573,83,0.2074468085106383,53,0.3644074074074077,82
2026,A,0000002707,潘傑楷,ADD011,統一7-ELEVEn獅,0.23404255319148937,52,0.13392857142857142,86,1,59,0.01282051282051282,0.1793103448275862,79,141.72650461275424,80,0.30357142857142855,65,0.12765957446808512,85,0.16071428571428573,55,176.03429538816,94,0.34234234234234234,76,112,53,0.3617021276595745,69,0.1875,59,0.33886486486486506,74
2026,A,0000006240,馬傑森,AJL011,樂天桃猿,0.18823529411764706,34,0,14,1,59,0.0136986301369863,0.4148148148148148,12,134.95820307264,45,0.16666666666666666,33,0.047058823529411764,51,0.16666666666666666,51,162.71752096512,41,0.20224719101123595,23,90,54,0.23529411764705882,35,0.1569767441860465,73,0.20389887640449442,26
2026,A,0000004636,江坤宇,ACN011,中信兄弟,0.2112676056338028,42,0.08235294117647059,68,1,59,0.015873015873015872,0.24615384615384617,54,138.19090360696168,60,0.2653061224489796,52,0.056338028169014065,55,0.11764705882352941,77,163.3888910016,44,0.3253012048192771,64,85,55,0.2676056338028169,42,0.16428571428571428,68,0.29798795180722903,56
2026,A,0000006854,宋嘉翔,AJL011,樂天桃猿,0.18571428571428572,32,0.03896103896103896,37,1,59,0.015873015873015872,0.36082474226804123,21,126.28202362650944,13,0.19298245614035087,37,0,19,0.14285714285714285,66,164.555021664,49,0.21333333333333335,24,77,55,0.18571428571428572,26,0.18115942028985507,61,0.18934666666666666,22
2026,A,0000002285,高宇杰,ACN011,中信兄弟,0.2631578947368421,66,0.09302325581395349,74,1,59,0.01639344262295082,0.2774566473988439,44,139.41043989839997,67,0.25,46,0,19,0.19767441860465115,39,166.12006042368,54,0.3333333333333333,70,86,56,0.2631578947368421,41,0.23684210526315788,35,0.2901904761904763,51
2026,A,0000005340,王博玄,AKP011,台鋼雄鷹,0.2222222222222222,46,0.0821917808219178,68,1,59,0.02,0.2184873949579832,70,130.19939467090285,24,0.11904761904761904,26,0.031746031746031744,44,0.2328767123287671,26,159.96454493184,33,0.2898550724637681,46,73,58,0.25396825396825395,38,0.1889763779527559,58,0.2631594202898551,39
2026,A,0000006736,王苡丞,AEO011,富邦悍將,0.20930232558139536,41,0.021739130434782608,29,1,59,0.02631578947368421,0.27692307692307694,46,135.38915540351996,47,0.30303030303030304,63,0.046511627906976744,50,0.13043478260869565,70,166.39026928128,56,0.24444444444444444,27,46,63,0.2558139534883721,38,0.21951219512195122,45,0.23515555555555556,33
