year,game_kind,player_id,player_name,team_code,team_name,barrels,bbe,brls_bbep,brls_pap,distance_avg_hr,distance_max,ev50th,ev90th,ev_avg,ev_max,fb_ld,hard_hit,hard_hit_swing,hard_hitp,la_avg,la_sw_spp
2026,A,0000005552,呂偉晟,AAA011,味全龍,0,18,0,0,0,105.388172256,153.43730137472,170.84847403008,127.49680489919999,170.84847403008,2,5,0.2777777777777778,0.2777777777777778,0.6765147222222225,0.2777777777777778
2026,A,0000007580,韋宏亮,AKP011,台鋼雄鷹,2,18,0.6666666666666666,0.08333333333333333,0,122.663154216,155.200352032,168.06054304512,123.16825784384001,168.06054304512,1.3333333333333333,3,0.17647058823529413,0.16666666666666666,10.4611665,0.3333333333333333
2026,A,0000007283,陳冠穎,ACN011,中信兄弟,0,17,0,0,0,103.27453056,158.91056140608,166.22465169024,148.00626700619293,166.22465169024,1,7,0.4117647058823529,0.4117647058823529,10.955720294117647,0.29411764705882354
2026,A,0000007293,鍾允華,ADD011,統一7-ELEVEn獅,1,16,0.25,0.034482758620689655,0,116.167439496,154.62798235632,164.90268824832,140.67499301063998,164.90268824832,0.5,4,0.26666666666666666,0.25,15.373003812499999,0.3125
2026,A,0000007047,盧冠宇,AJL011,樂天桃猿,0,15,0,0,0,109.143923952,152.28146770395432,164.36627779968,141.50255504563202,164.36627779968,0.4,4,0.26666666666666666,0.26666666666666666,17.872552133333333,0.4
2026,A,0000006860,劉家翔,AJL011,樂天桃猿,1,15,0.3333333333333333,0.05555555555555555,0,118.030209456,153.53967583378287,165.64927902336,135.60059813836799,165.64927902336,2.5,3,0.2,0.2,28.421865333333336,0.3333333333333333
2026,A,0000006767,許育銘,AKP011,台鋼雄鷹,0,14,0,0,0,109.225518912,154.73917739355426,162.15922343808,138.27213393161142,162.15922343808,0.4,5,0.35714285714285715,0.35714285714285715,22.127540785714285,0.35714285714285715
2026,A,0000007783,阿部雄大,AEO011,富邦悍將,0,14,0,0,0,89.002614984,142.94067879168,154.39656874752,125.32607189897139,154.39656874752,4,1,0.07142857142857142,0.07142857142857142,14.271040499999998,0.21428571428571427
2026,A,0000000938,張瑞麟,AEO011,富邦悍將,1,14,0.3333333333333333,0.045454545454545456,0,105.47757924,154.6856942943086,173.22240127104,134.66281101202287,173.22240127104,0.2,3,0.21428571428571427,0.21428571428571427,15.852196785714284,0.42857142857142855
2026,A,0000006850,鄭副豪,ADD011,統一7-ELEVEn獅,2,14,0.6666666666666666,0.09523809523809523,0,112.369204776,153.71629673965714,165.62533198464,138.65343695506286,165.62533198464,1.5,3,0.21428571428571427,0.21428571428571427,12.566587714285715,0.2857142857142857
