game_id,date,game_status,kind_code,game_sno,week,inning_seq,field_no,field_name,pre_exe_date,visiting_team_code,visiting_team_name,visiting_score,visiting_record_w,visiting_record_l,visiting_record_t,home_team_code,home_team_name,home_score,home_record_w,home_record_l,home_record_t,winning_pitcher_acnt,winning_pitcher_name,loser_pitcher_acnt,loser_pitcher_name,closer_acnt,closer_name,skip_trackman,visiting_home_type
2026-A-38,2026-04-15,FINISHED,A,38,16,9,F19,洲際,2026-04-15T18:35:00,AKP011,台鋼雄鷹,4,8,4,1,ACN011,中信兄弟,0,2,10,0,0000001603,王維中,0000005151,羅戈,,,False,2
2026-A-39,2026-04-15,FINISHED,A,39,16,9,F23,樂天桃園,2026-04-15T18:35:00,ADD011,統一7-ELEVEn獅,5,5,5,1,AJL011,樂天桃猿,1,5,6,0,0000005731,布雷克,0000007790,魔爾曼,,,False,2
2026-D-28,2026-04-15,FINISHED,D,28,16,9,F26,園區,2026-04-15T14:05:00,AJL022,樂天桃猿二軍,20,5,2,0,ACN022,中信兄弟二軍,3,1,7,0,0000006860,劉家翔,0000006006,*德保拉,,,False,2
2026-D-29,2026-04-15,FINISHED,D,29,16,9,F30,亞太副,2026-04-15T14:05:00,AKP022,台鋼雄鷹二軍,9,7,1,1,ADD022,統一7-ELEVEn獅二軍,2,2,8,0,0000007567,◎櫻井周斗,0000001412,*江少慶,,,False,2
2026-A-40,2026-04-16,FINISHED,A,40,16,9,F23,樂天桃園,2026-04-16T18:35:00,ADD011,統一7-ELEVEn獅,7,6,5,1,AJL011,樂天桃猿,3,5,7,0,0000007778,喬登,0000007789,麥斯威尼,,,False,2
2026-D-30,2026-04-16,FINISHED,D,30,16,9,F24,青埔,2026-04-16T14:05:00,AEO022,富邦悍將二軍,3,6,2,1,AJL022,樂天桃猿二軍,4,6,2,0,0000004629,*楊彬,0000007568,王偉軒,0000007073,賴胤豪,False,2
2026-D-31,2026-04-16,FINISHED,D,31,16,9,F32,皇鷹學院,2026-04-16T14:05:00,AAA022,味全龍二軍,0,3,6,0,AKP022,台鋼雄鷹二軍,13,8,1,1,0000006920,陳冠豪,0000006236,楊鈺翔,,,False,2
2026-A-41,2026-04-17,FINISHED,A,41,16,9,F09,澄清湖,2026-04-17T18:35:00,AJL011,樂天桃猿,6,6,7,0,AKP011,台鋼雄鷹,3,8,5,1,0000007062,威能帝,0000007570,坎南,,,False,2
2026-A-42,2026-04-17,FINISHED,A,42,16,9,F08,新莊,2026-04-17T18:35:00,ADD011,統一7-ELEVEn獅,9,7,5,1,AEO011,富邦悍將,5,6,6,0,0000001719,胡智爲,0000000773,李吳永勤,,,False,2
2026-A-43,2026-04-17,FINISHED,A,43,16,9,F10,天母,2026-04-17T18:35:00,ACN011,中信兄弟,5,3,10,0,AAA011,味全龍,3,8,5,0,0000005604,勝騎士,0000006555,梅賽鍶,0000003331,李振昌,False,2
2026-D-32,2026-04-17,FINISHED,D,32,16,9,F23,樂天桃園,2026-04-17T14:05:00,AEO022,富邦悍將二軍,9,7,2,1,AJL022,樂天桃猿二軍,6,6,3,0,0000001524,劉昱言,0000007314,*王宇翔,,,False,2
2026-D-33,2026-04-17,FINISHED,D,33,16,9,F32,皇鷹學院,2026-04-17T14:05:00,AAA022,味全龍二軍,9,4,6,0,AKP022,台鋼雄鷹二軍,2,8,2,1,0000007081,黃侰程,0000007053,艾速特,,,False,2
2026-A-44,2026-04-18,FINISHED,A,44,16,9,F09,澄清湖,2026-04-18T16:05:00,AJL011,樂天桃猿,1,6,8,0,AKP011,台鋼雄鷹,6,9,5,1,0000002679,江承諺,0000006906,艾菩樂,,,False,2
2026-A-45,2026-04-18,FINISHED,A,45,16,9,F08,新莊,2026-04-18T17:05:00,ADD011,統一7-ELEVEn獅,0,7,6,1,AEO011,富邦悍將,1,7,6,0,0000006739,李東洺,0000007597,獅帝芬,0000006227,曾峻岳,False,2
2026-A-46,2026-04-18,FINISHED,A,46,16,9,F10,天母,2026-04-18T17:05:00,ACN011,中信兄弟,1,3,11,0,AAA011,味全龍,8,9,5,0,0000006160,李超,0000007787,黎克,,,False,2
2026-D-34,2026-04-18,FINISHED,D,34,16,9,F13,斗六,2026-04-18T14:05:00,AEO022,富邦悍將二軍,7,8,2,1,AAA022,味全龍二軍,5,4,7,0,0000005479,江國豪,0000006724,曹祐齊,0000001524,劉昱言,False,2
2026-D-35,2026-04-18,FINISHED,D,35,16,9,F30,亞太副,2026-04-18T14:05:00,ACN022,中信兄弟二軍,8,1,8,0,ADD022,統一7-ELEVEn獅二軍,15,3,8,0,0000005282,姚杰宏,0000003334,*鄭凱文,,,False,2
2026-A-47,2026-04-19,FINISHED,A,47,16,9,F09,澄清湖,2026-04-19T16:05:00,AJL011,樂天桃猿,4,6,9,0,AKP011,台鋼雄鷹,5,10,5,1,0000002348,施子謙,0000006237,林子崴,0000006949,林詩翔,False,2
2026-A-48,2026-04-19,FINISHED,A,48,16,9,F10,天母,2026-04-19T16:05:00,ACN011,中信兄弟,3,3,12,0,AAA011,味全龍,9,10,5,0,0000005541,郭郁政,0000005572,魏碩成,,,False,2
2026-A-49,2026-04-19,FINISHED,A,49,16,9,F08,新莊,2026-04-19T17:05:00,ADD011,統一7-ELEVEn獅,1,7,7,1,AEO011,富邦悍將,7,8,6,0,0000007228,鈴木駿輔,0000007290,張宥謙,,,False,2
2026-D-7,2026-04-19,FINISHED,D,7,16,10,F30,亞太副,2026-04-19T14:05:00,AKP022,台鋼雄鷹二軍,6,9,2,1,AEO022,富邦悍將二軍,5,8,3,1,0000006917,謝葆錡,0000007568,王偉軒,0000006982,黃群,False,2
2026-D-36,2026-04-19,FINISHED,D,36,16,9,F26,園區,2026-04-19T14:05:00,ADD022,統一7-ELEVEn獅二軍,6,3,9,0,ACN022,中信兄弟二軍,7,2,8,0,0000007794,*馬奎爾,0000007063,*周彥農,0000003506,謝榮豪,False,2
2026-A-50,2026-04-21,FINISHED,A,50,17,9,F31,亞太主,2026-04-21T18:35:00,ACN011,中信兄弟,6,4,12,0,ADD011,統一7-ELEVEn獅,0,7,8,1,0000002345,鄭浩均,0000005731,布雷克,,,True,2
2026-A-51,2026-04-21,FINISHED,A,51,17,9,F23,樂天桃園,2026-04-21T18:35:00,AEO011,富邦悍將,1,8,7,0,AJL011,樂天桃猿,6,7,9,0,0000007790,魔爾曼,0000007299,陳品宏,,,False,2
2026-D-37,2026-04-21,FINISHED,D,37,17,9,F13,斗六,2026-04-21T14:05:00,AJL022,樂天桃猿二軍,1,6,4,0,AAA022,味全龍二軍,6,5,7,0,0000003608,曾仁和,0000007616,*鍾亦恩,,,False,2
2026-D-38,2026-04-21,FINISHED,D,38,17,9,F32,皇鷹學院,2026-04-21T14:05:00,ADD022,統一7-ELEVEn獅二軍,7,4,9,0,AKP022,台鋼雄鷹二軍,5,9,3,1,0000002695,*林子崴,0000006917,謝葆錡,0000006210,*林原裕,False,2
2026-A-52,2026-04-22,FINISHED,A,52,17,9,F31,亞太主,2026-04-22T18:35:00,ACN011,中信兄弟,7,5,12,0,ADD011,統一7-ELEVEn獅,2,7,9,1,0000005151,羅戈,0000006850,鄭副豪,,,True,2
2026-A-53,2026-04-22,FINISHED,A,53,17,9,F23,樂天桃園,2026-04-22T18:35:00,AEO011,富邦悍將,2,8,8,0,AJL011,樂天桃猿,4,8,9,0,0000006860,劉家翔,0000000368,游霆崴,0000000128,朱承洋,False,2
2026-A-54,2026-04-22,FINISHED,A,54,17,9,F07,嘉義市,2026-04-22T18:35:00,AAA011,味全龍,8,11,5,0,AKP011,台鋼雄鷹,0,10,6,1,0000007264,魔神龍,0000006507,後勁,,,False,2
2026-D-39,2026-04-22,FINISHED,D,39,17,9,F13,斗六,2026-04-22T14:05:00,AJL022,樂天桃猿二軍,4,6,5,0,AAA022,味全龍二軍,8,6,7,0,0000007055,張景淯,0000007772,◎莊孟源,,,False,2
2026-D-40,2026-04-22,FINISHED,D,40,17,9,F32,皇鷹學院,2026-04-22T14:05:00,ADD022,統一7-ELEVEn獅二軍,10,5,9,0,AKP022,台鋼雄鷹二軍,7,9,4,1,0000007781,◎朱柏翰,0000007567,◎櫻井周斗,0000005282,姚杰宏,False,2
2026-A-55,2026-04-23,FINISHED,A,55,17,9,F09,澄清湖,2026-04-23T18:35:00,AAA011,味全龍,3,11,6,0,AKP011,台鋼雄鷹,4,11,6,1,0000007570,坎南,0000001821,林子昱,0000006949,林詩翔,False,2
2026-D-41,2026-04-23,FINISHED,D,41,17,9,F07,嘉義市,2026-04-23T14:05:00,AAA022,味全龍二軍,1,6,8,0,AEO022,富邦悍將二軍,5,9,3,1,0000000938,張瑞麟,0000007611,*林紘維,,,False,2
2026-D-42,2026-04-23,FINISHED,D,42,17,9,F26,園區,2026-04-23T14:05:00,AKP022,台鋼雄鷹二軍,9,10,4,1,ACN022,中信兄弟二軍,4,2,9,0,0000007580,韋宏亮,0000007276,伍立辰,,,False,2
2026-A-56,2026-04-24,FINISHED,A,56,17,10,F31,亞太主,2026-04-24T18:35:00,AKP011,台鋼雄鷹,6,11,7,1,ADD011,統一7-ELEVEn獅,7,8,9,1,0000006818,髙塩將樹,0000005285,許峻暘,,,True,2
2026-A-57,2026-04-24,POSTPONED,A,57,17,1,F19,洲際,2026-04-24T18:35:00,AEO011,富邦悍將,0,8,8,0,ACN011,中信兄弟,0,5,12,0,,,,,,,False,1
2026-A-58,2026-04-24,POSTPONED,A,58,17,1,F23,樂天桃園,2026-04-24T18:35:00,AAA011,味全龍,0,11,6,0,AJL011,樂天桃猿,0,8,9,0,,,,,,,False,1
2026-D-43,2026-04-24,POSTPONED,D,43,17,9,F07,嘉義市,2026-04-24T14:05:00,AAA022,味全龍二軍,0,10,11,1,AEO022,富邦悍將二軍,0,13,6,2,,,,,,,False,2
